Date,Artist Name,Genre,Event Type,Source,Source Type,Location,Audience Engagement,Critical Acclaim,Chart Performance,Upcoming Events,Noteworthy Mentions,Link
6/26/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,Pitchfork,Industry News,Los Angeles,41043,4,Viral,,Noteworthy mention 472,https://example.com/news472
6/27/2023 7:02:01 PM,Query Quartet,Rock,Album Release,Billboard,Social Media,Los Angeles,48062,3,Viral,Award Show,Noteworthy mention 473,https://example.com/news473
6/28/2023 7:02:01 PM,Query Quartet,Hip Hop,Album Release,Grammy,Fan Base,Los Angeles,40084,1,Highly Rated,Europe Tour,Noteworthy mention 474,https://example.com/news474
6/29/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,TikTok,Fan Base,New York,24400,2,Top 10,,Noteworthy mention 475,https://example.com/news475
6/30/2023 7:02:01 PM,Query Quartet,Pop,Viral Moment,Pitchfork,Critical Review,Chicago,36580,3,Viral,,Noteworthy mention 476,https://example.com/news476
7/1/2023 7:02:01 PM,Query Quartet,Indie,New Single,Spotify,Industry News,Miami,36305,2,Highly Rated,Europe Tour,Noteworthy mention 477,https://example.com/news477
7/2/2023 7:02:01 PM,Query Quartet,Electronic,Viral Moment,Billboard,Critical Review,Global,37331,1,Viral,Music Festival,Noteworthy mention 478,https://example.com/news478
7/3/2023 7:02:01 PM,Query Quartet,Indie,Award Win,Grammy,Industry News,New York,42509,3,Viral,World Tour,Noteworthy mention 479,https://example.com/news479
7/4/2023 7:02:01 PM,Query Quartet,Hip Hop,New Single,Spotify,Critical Review,Miami,33193,3,Viral,,Noteworthy mention 480,https://example.com/news480
7/5/2023 7:02:01 PM,Query Quartet,Hip Hop,Award Win,Spotify,Fan Base,Global,10043,3,Viral,,Noteworthy mention 481,https://example.com/news481
7/6/2023 7:02:01 PM,Query Quartet,Pop,Viral Moment,Spotify,Critical Review,Miami,40035,3,Top 10,World Tour,Noteworthy mention 482,https://example.com/news482
7/7/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,Spotify,Industry News,Miami,23993,3,Highly Rated,,Noteworthy mention 483,https://example.com/news483
7/8/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,Grammy,Critical Review,Global,11061,3,Viral,Europe Tour,Noteworthy mention 484,https://example.com/news484
7/9/2023 7:02:01 PM,Query Quartet,Hip Hop,Award Win,Grammy,Social Media,Miami,35779,4,Winner,,Noteworthy mention 485,https://example.com/news485
7/10/2023 7:02:01 PM,Query Quartet,Rock,New Single,TikTok,Critical Review,Los Angeles,3525,1,Winner,Award Show,Noteworthy mention 486,https://example.com/news486
7/11/2023 7:02:01 PM,Query Quartet,Electronic,Award Win,TikTok,Fan Base,Los Angeles,32979,1,Winner,,Noteworthy mention 487,https://example.com/news487
7/12/2023 7:02:01 PM,Query Quartet,Rock,New Single,Grammy,Critical Review,Miami,49143,3,Top 10,World Tour,Noteworthy mention 488,https://example.com/news488
7/13/2023 7:02:01 PM,Query Quartet,Rock,Album Release,Grammy,Fan Base,New York,1305,1,Highly Rated,Europe Tour,Noteworthy mention 489,https://example.com/news489
7/14/2023 7:02:01 PM,Query Quartet,Rock,Viral Moment,TikTok,Fan Base,Chicago,16863,1,Highly Rated,,Noteworthy mention 490,https://example.com/news490
7/15/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,Grammy,Fan Base,Global,10635,2,Top 10,Music Festival,Noteworthy mention 491,https://example.com/news491
7/16/2023 7:02:01 PM,Query Quartet,Electronic,Chart Topping,Billboard,Social Media,New York,30009,2,Top 10,Europe Tour,Noteworthy mention 492,https://example.com/news492
7/17/2023 7:02:01 PM,Query Quartet,Pop,New Single,Billboard,Industry News,Chicago,13486,4,Top 10,Europe Tour,Noteworthy mention 493,https://example.com/news493
7/18/2023 7:02:01 PM,Query Quartet,Pop,Album Release,Billboard,Industry News,Global,22770,2,Viral,Music Festival,Noteworthy mention 494,https://example.com/news494
7/19/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,Billboard,Industry News,Chicago,14997,3,Winner,,Noteworthy mention 495,https://example.com/news495
7/20/2023 7:02:01 PM,Query Quartet,Indie,Award Win,Spotify,Industry News,Global,16091,2,Winner,Award Show,Noteworthy mention 496,https://example.com/news496
7/21/2023 7:02:01 PM,Query Quartet,Indie,Award Win,Billboard,Industry News,Los Angeles,4195,1,Viral,World Tour,Noteworthy mention 497,https://example.com/news497
7/22/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,TikTok,Fan Base,New York,5348,4,Top 10,Europe Tour,Noteworthy mention 498,https://example.com/news498
7/23/2023 7:02:01 PM,Query Quartet,Electronic,New Single,Spotify,Critical Review,Chicago,47270,4,Viral,Award Show,Noteworthy mention 499,https://example.com/news499
7/24/2023 7:02:01 PM,Query Quartet,Rock,Viral Moment,TikTok,Critical Review,Los Angeles,16320,2,Winner,World Tour,Noteworthy mention 500,https://example.com/news500
7/25/2023 7:02:01 PM,Query Quartet,Rock,Album Release,Pitchfork,Industry News,New York,4616,3,Highly Rated,World Tour,Noteworthy mention 501,https://example.com/news501
7/26/2023 7:02:01 PM,Query Quartet,Hip Hop,Viral Moment,Pitchfork,Fan Base,Miami,44641,3,Top 10,,Noteworthy mention 502,https://example.com/news502
7/27/2023 7:02:01 PM,Query Quartet,Hip Hop,Album Release,Grammy,Industry News,New York,4250,4,Viral,Award Show,Noteworthy mention 503,https://example.com/news503
7/28/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,Spotify,Critical Review,New York,49360,4,Winner,Europe Tour,Noteworthy mention 504,https://example.com/news504
7/29/2023 7:02:01 PM,Query Quartet,Rock,New Single,Billboard,Social Media,Los Angeles,22075,1,Winner,Europe Tour,Noteworthy mention 505,https://example.com/news505
7/30/2023 7:02:01 PM,Query Quartet,Indie,Award Win,Pitchfork,Social Media,Los Angeles,6988,4,Top 10,,Noteworthy mention 506,https://example.com/news506
7/31/2023 7:02:01 PM,Query Quartet,Indie,Award Win,Spotify,Critical Review,Chicago,20417,1,Highly Rated,Europe Tour,Noteworthy mention 507,https://example.com/news507
8/1/2023 7:02:01 PM,Query Quartet,Pop,Award Win,Billboard,Critical Review,Chicago,8740,2,Highly Rated,World Tour,Noteworthy mention 508,https://example.com/news508
8/2/2023 7:02:01 PM,Query Quartet,Hip Hop,New Single,Pitchfork,Social Media,Miami,7186,4,Winner,,Noteworthy mention 509,https://example.com/news509
8/3/2023 7:02:01 PM,Query Quartet,Indie,Viral Moment,Grammy,Industry News,Los Angeles,43753,2,Winner,World Tour,Noteworthy mention 510,https://example.com/news510
8/4/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,TikTok,Critical Review,Los Angeles,20527,2,Viral,World Tour,Noteworthy mention 511,https://example.com/news511
8/5/2023 7:02:01 PM,Query Quartet,Rock,New Single,Grammy,Industry News,New York,48576,3,Winner,Music Festival,Noteworthy mention 512,https://example.com/news512
8/6/2023 7:02:01 PM,Query Quartet,Electronic,Chart Topping,Pitchfork,Critical Review,New York,19775,2,Viral,Music Festival,Noteworthy mention 513,https://example.com/news513
8/7/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,TikTok,Industry News,Miami,21731,2,Winner,,Noteworthy mention 514,https://example.com/news514
8/8/2023 7:02:01 PM,Query Quartet,Pop,Viral Moment,Pitchfork,Industry News,New York,19944,1,Highly Rated,World Tour,Noteworthy mention 515,https://example.com/news515
8/9/2023 7:02:01 PM,Query Quartet,Electronic,Award Win,Pitchfork,Industry News,New York,35753,4,Top 10,,Noteworthy mention 516,https://example.com/news516
8/10/2023 7:02:01 PM,Query Quartet,Electronic,Album Release,Billboard,Social Media,Chicago,13171,3,Viral,Music Festival,Noteworthy mention 517,https://example.com/news517
8/11/2023 7:02:01 PM,Query Quartet,Indie,New Single,Spotify,Industry News,Miami,20624,4,Winner,,Noteworthy mention 518,https://example.com/news518
8/12/2023 7:02:01 PM,Query Quartet,Electronic,New Single,TikTok,Fan Base,Chicago,43721,3,Top 10,Award Show,Noteworthy mention 519,https://example.com/news519
8/13/2023 7:02:01 PM,Query Quartet,Pop,New Single,Grammy,Industry News,Miami,28965,4,Winner,,Noteworthy mention 520,https://example.com/news520
8/14/2023 7:02:01 PM,Query Quartet,Indie,Chart Topping,TikTok,Social Media,Chicago,42837,1,Viral,Award Show,Noteworthy mention 521,https://example.com/news521
8/15/2023 7:02:01 PM,Query Quartet,Electronic,Viral Moment,Spotify,Social Media,Chicago,6849,3,Top 10,,Noteworthy mention 522,https://example.com/news522
8/16/2023 7:02:01 PM,Query Quartet,Electronic,New Single,Spotify,Critical Review,Miami,10747,1,Highly Rated,Award Show,Noteworthy mention 523,https://example.com/news523
8/17/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,Spotify,Industry News,New York,5877,1,Highly Rated,Award Show,Noteworthy mention 524,https://example.com/news524
8/18/2023 7:02:01 PM,Query Quartet,Indie,Viral Moment,Billboard,Critical Review,Global,8076,1,Top 10,Award Show,Noteworthy mention 525,https://example.com/news525
8/19/2023 7:02:01 PM,Query Quartet,Indie,Album Release,Pitchfork,Industry News,Los Angeles,34642,2,Winner,Award Show,Noteworthy mention 526,https://example.com/news526
8/20/2023 7:02:01 PM,Query Quartet,Electronic,Viral Moment,Grammy,Industry News,Miami,5935,4,Viral,Europe Tour,Noteworthy mention 527,https://example.com/news527
8/21/2023 7:02:01 PM,Query Quartet,Pop,Award Win,Grammy,Critical Review,Global,14428,2,Highly Rated,Europe Tour,Noteworthy mention 528,https://example.com/news528
8/22/2023 7:02:01 PM,Query Quartet,Rock,Album Release,Grammy,Social Media,Chicago,47014,3,Viral,,Noteworthy mention 529,https://example.com/news529
8/23/2023 7:02:01 PM,Query Quartet,Pop,Album Release,TikTok,Social Media,New York,47596,1,Viral,Music Festival,Noteworthy mention 530,https://example.com/news530
8/24/2023 7:02:01 PM,Query Quartet,Electronic,Album Release,Billboard,Critical Review,Chicago,32658,2,Viral,World Tour,Noteworthy mention 531,https://example.com/news531
8/25/2023 7:02:01 PM,Query Quartet,Electronic,Chart Topping,Billboard,Industry News,Miami,14139,4,Top 10,Europe Tour,Noteworthy mention 532,https://example.com/news532
8/26/2023 7:02:01 PM,Query Quartet,Rock,Album Release,Grammy,Critical Review,Global,22062,3,Viral,Award Show,Noteworthy mention 533,https://example.com/news533
8/27/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,Grammy,Critical Review,Chicago,9242,3,Highly Rated,Europe Tour,Noteworthy mention 534,https://example.com/news534
8/28/2023 7:02:01 PM,Query Quartet,Indie,Award Win,Spotify,Social Media,New York,26079,1,Winner,Award Show,Noteworthy mention 535,https://example.com/news535
8/29/2023 7:02:01 PM,Query Quartet,Electronic,Album Release,TikTok,Social Media,Miami,11280,1,Viral,Music Festival,Noteworthy mention 536,https://example.com/news536
8/30/2023 7:02:01 PM,Query Quartet,Indie,New Single,Spotify,Industry News,Miami,24254,3,Highly Rated,Europe Tour,Noteworthy mention 537,https://example.com/news537
8/31/2023 7:02:01 PM,Query Quartet,Electronic,Chart Topping,Pitchfork,Industry News,Chicago,43902,3,Highly Rated,World Tour,Noteworthy mention 538,https://example.com/news538
9/1/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,Spotify,Critical Review,New York,22392,3,Top 10,World Tour,Noteworthy mention 539,https://example.com/news539
9/2/2023 7:02:01 PM,Query Quartet,Hip Hop,Viral Moment,Pitchfork,Social Media,Miami,17122,2,Highly Rated,Europe Tour,Noteworthy mention 540,https://example.com/news540
9/3/2023 7:02:01 PM,Query Quartet,Indie,Album Release,Pitchfork,Industry News,Miami,4346,4,Winner,Europe Tour,Noteworthy mention 541,https://example.com/news541
9/4/2023 7:02:01 PM,Query Quartet,Indie,Album Release,Spotify,Industry News,Chicago,30212,4,Highly Rated,World Tour,Noteworthy mention 542,https://example.com/news542
9/5/2023 7:02:01 PM,Query Quartet,Indie,Viral Moment,Grammy,Critical Review,Global,16481,2,Top 10,Music Festival,Noteworthy mention 543,https://example.com/news543
9/6/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,Spotify,Social Media,Los Angeles,2155,3,Highly Rated,,Noteworthy mention 544,https://example.com/news544
9/7/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,Pitchfork,Fan Base,New York,19628,3,Viral,Europe Tour,Noteworthy mention 545,https://example.com/news545
9/8/2023 7:02:01 PM,Query Quartet,Rock,Viral Moment,Billboard,Fan Base,Miami,45233,3,Highly Rated,Europe Tour,Noteworthy mention 546,https://example.com/news546
9/9/2023 7:02:01 PM,Query Quartet,Electronic,Award Win,Pitchfork,Critical Review,Miami,22133,2,Top 10,World Tour,Noteworthy mention 547,https://example.com/news547
9/10/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,TikTok,Fan Base,Miami,38668,4,Viral,World Tour,Noteworthy mention 548,https://example.com/news548
9/11/2023 7:02:01 PM,Query Quartet,Indie,Album Release,Billboard,Social Media,Global,43409,1,Winner,World Tour,Noteworthy mention 549,https://example.com/news549
9/12/2023 7:02:01 PM,Query Quartet,Rock,Award Win,Spotify,Fan Base,Los Angeles,35999,4,Winner,World Tour,Noteworthy mention 550,https://example.com/news550
9/13/2023 7:02:01 PM,Query Quartet,Indie,New Single,Pitchfork,Fan Base,Chicago,37834,1,Viral,Europe Tour,Noteworthy mention 551,https://example.com/news551
9/14/2023 7:02:01 PM,Query Quartet,Electronic,Viral Moment,Billboard,Social Media,New York,28651,3,Viral,Award Show,Noteworthy mention 552,https://example.com/news552
9/15/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,Grammy,Industry News,Global,5869,2,Viral,World Tour,Noteworthy mention 553,https://example.com/news553
9/16/2023 7:02:01 PM,Query Quartet,Electronic,Chart Topping,Spotify,Social Media,Miami,36219,2,Top 10,Music Festival,Noteworthy mention 554,https://example.com/news554
9/17/2023 7:02:01 PM,Query Quartet,Electronic,Viral Moment,Pitchfork,Industry News,Los Angeles,20153,3,Top 10,Music Festival,Noteworthy mention 555,https://example.com/news555
9/18/2023 7:02:01 PM,Query Quartet,Electronic,Chart Topping,TikTok,Industry News,Los Angeles,42357,4,Winner,Europe Tour,Noteworthy mention 556,https://example.com/news556
9/19/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,Grammy,Critical Review,Los Angeles,36583,3,Highly Rated,World Tour,Noteworthy mention 557,https://example.com/news557
9/20/2023 7:02:01 PM,Query Quartet,Electronic,Album Release,TikTok,Industry News,Chicago,37088,3,Winner,,Noteworthy mention 558,https://example.com/news558
9/21/2023 7:02:01 PM,Query Quartet,Electronic,Album Release,Billboard,Critical Review,New York,47782,2,Viral,World Tour,Noteworthy mention 559,https://example.com/news559
9/22/2023 7:02:01 PM,Query Quartet,Electronic,Chart Topping,TikTok,Fan Base,Miami,49485,4,Winner,Europe Tour,Noteworthy mention 560,https://example.com/news560
9/23/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,Pitchfork,Social Media,Global,28222,1,Winner,,Noteworthy mention 561,https://example.com/news561
9/24/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,Pitchfork,Industry News,Global,1222,2,Viral,Europe Tour,Noteworthy mention 562,https://example.com/news562
9/25/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,TikTok,Critical Review,Global,2606,2,Top 10,Award Show,Noteworthy mention 563,https://example.com/news563
9/26/2023 7:02:01 PM,Query Quartet,Pop,Award Win,Billboard,Social Media,Global,42520,2,Top 10,Music Festival,Noteworthy mention 564,https://example.com/news564
9/27/2023 7:02:01 PM,Query Quartet,Rock,Album Release,Pitchfork,Social Media,Miami,40813,1,Viral,Europe Tour,Noteworthy mention 565,https://example.com/news565
9/28/2023 7:02:01 PM,Query Quartet,Indie,Chart Topping,Pitchfork,Critical Review,New York,26263,1,Viral,World Tour,Noteworthy mention 566,https://example.com/news566
9/29/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,TikTok,Social Media,Miami,22142,1,Highly Rated,World Tour,Noteworthy mention 567,https://example.com/news567
9/30/2023 7:02:01 PM,Query Quartet,Rock,Album Release,TikTok,Industry News,Global,16143,4,Winner,Europe Tour,Noteworthy mention 568,https://example.com/news568
10/1/2023 7:02:01 PM,Query Quartet,Electronic,New Single,Billboard,Fan Base,New York,34484,3,Winner,Music Festival,Noteworthy mention 569,https://example.com/news569
10/2/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,Grammy,Industry News,Chicago,16032,4,Winner,Europe Tour,Noteworthy mention 570,https://example.com/news570
10/3/2023 7:02:01 PM,Query Quartet,Hip Hop,Viral Moment,Spotify,Social Media,New York,20605,4,Top 10,Europe Tour,Noteworthy mention 571,https://example.com/news571
10/4/2023 7:02:01 PM,Query Quartet,Electronic,Award Win,Spotify,Critical Review,Chicago,14946,1,Top 10,World Tour,Noteworthy mention 572,https://example.com/news572
10/5/2023 7:02:01 PM,Query Quartet,Indie,New Single,Spotify,Fan Base,Miami,13945,3,Winner,World Tour,Noteworthy mention 573,https://example.com/news573
10/6/2023 7:02:01 PM,Query Quartet,Rock,New Single,TikTok,Fan Base,Chicago,15240,4,Viral,World Tour,Noteworthy mention 574,https://example.com/news574
10/7/2023 7:02:01 PM,Query Quartet,Electronic,Album Release,Pitchfork,Fan Base,Chicago,25058,4,Highly Rated,Music Festival,Noteworthy mention 575,https://example.com/news575
10/8/2023 7:02:01 PM,Query Quartet,Hip Hop,Award Win,Pitchfork,Social Media,New York,22626,3,Viral,World Tour,Noteworthy mention 576,https://example.com/news576
10/9/2023 7:02:01 PM,Query Quartet,Indie,Viral Moment,Grammy,Industry News,Miami,16946,1,Viral,,Noteworthy mention 577,https://example.com/news577
10/10/2023 7:02:01 PM,Query Quartet,Rock,Award Win,Pitchfork,Critical Review,New York,48092,3,Top 10,,Noteworthy mention 578,https://example.com/news578
10/11/2023 7:02:01 PM,Query Quartet,Rock,New Single,TikTok,Critical Review,Los Angeles,35539,2,Winner,Europe Tour,Noteworthy mention 579,https://example.com/news579
10/12/2023 7:02:01 PM,Query Quartet,Hip Hop,New Single,Billboard,Critical Review,Chicago,27733,3,Viral,Europe Tour,Noteworthy mention 580,https://example.com/news580
10/13/2023 7:02:01 PM,Query Quartet,Hip Hop,Award Win,Billboard,Social Media,New York,12612,2,Highly Rated,Award Show,Noteworthy mention 581,https://example.com/news581
10/14/2023 7:02:01 PM,Query Quartet,Hip Hop,Album Release,Spotify,Social Media,Miami,40488,4,Highly Rated,,Noteworthy mention 582,https://example.com/news582
10/15/2023 7:02:01 PM,Query Quartet,Indie,Album Release,Spotify,Industry News,New York,29838,3,Top 10,Music Festival,Noteworthy mention 583,https://example.com/news583
10/16/2023 7:02:01 PM,Query Quartet,Indie,New Single,Billboard,Social Media,Los Angeles,22053,3,Viral,Europe Tour,Noteworthy mention 584,https://example.com/news584
10/17/2023 7:02:01 PM,Query Quartet,Electronic,Viral Moment,Spotify,Social Media,Chicago,11110,1,Top 10,Europe Tour,Noteworthy mention 585,https://example.com/news585
10/18/2023 7:02:01 PM,Query Quartet,Hip Hop,New Single,Spotify,Social Media,Los Angeles,49944,4,Winner,Music Festival,Noteworthy mention 586,https://example.com/news586
10/19/2023 7:02:01 PM,Query Quartet,Rock,Award Win,Grammy,Industry News,Los Angeles,17344,2,Highly Rated,,Noteworthy mention 587,https://example.com/news587
10/20/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,Billboard,Industry News,Chicago,47113,2,Viral,Award Show,Noteworthy mention 588,https://example.com/news588
10/21/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,Grammy,Critical Review,Los Angeles,1345,1,Highly Rated,Music Festival,Noteworthy mention 589,https://example.com/news589
10/22/2023 7:02:01 PM,Query Quartet,Hip Hop,Viral Moment,Spotify,Fan Base,Chicago,42451,2,Top 10,Award Show,Noteworthy mention 590,https://example.com/news590
10/23/2023 7:02:01 PM,Query Quartet,Rock,Viral Moment,Pitchfork,Critical Review,Chicago,32356,2,Winner,Award Show,Noteworthy mention 591,https://example.com/news591
10/24/2023 7:02:01 PM,Query Quartet,Electronic,Viral Moment,Spotify,Industry News,Global,11062,2,Highly Rated,Europe Tour,Noteworthy mention 592,https://example.com/news592
10/25/2023 7:02:01 PM,Query Quartet,Hip Hop,Album Release,Spotify,Industry News,Miami,41220,2,Top 10,,Noteworthy mention 593,https://example.com/news593
10/26/2023 7:02:01 PM,Query Quartet,Indie,New Single,Grammy,Critical Review,New York,13056,1,Viral,Award Show,Noteworthy mention 594,https://example.com/news594
10/27/2023 7:02:01 PM,Query Quartet,Pop,Award Win,TikTok,Critical Review,New York,44579,4,Viral,Music Festival,Noteworthy mention 595,https://example.com/news595
10/28/2023 7:02:01 PM,Query Quartet,Hip Hop,New Single,TikTok,Critical Review,Miami,44769,1,Viral,,Noteworthy mention 596,https://example.com/news596
10/29/2023 7:02:01 PM,Query Quartet,Rock,Award Win,Pitchfork,Fan Base,Los Angeles,11739,3,Top 10,World Tour,Noteworthy mention 597,https://example.com/news597
10/30/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,Spotify,Fan Base,Miami,8531,1,Viral,World Tour,Noteworthy mention 598,https://example.com/news598
10/31/2023 7:02:01 PM,Query Quartet,Hip Hop,New Single,TikTok,Social Media,Chicago,31456,3,Viral,Music Festival,Noteworthy mention 599,https://example.com/news599
11/1/2023 7:02:01 PM,Query Quartet,Indie,Award Win,Pitchfork,Fan Base,Chicago,48530,2,Viral,World Tour,Noteworthy mention 600,https://example.com/news600
11/2/2023 7:02:01 PM,Query Quartet,Indie,Award Win,Spotify,Industry News,New York,27916,1,Viral,,Noteworthy mention 601,https://example.com/news601
11/3/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,Billboard,Fan Base,Global,29849,4,Viral,,Noteworthy mention 602,https://example.com/news602
11/4/2023 7:02:01 PM,Query Quartet,Rock,New Single,Pitchfork,Industry News,Los Angeles,48011,4,Highly Rated,Europe Tour,Noteworthy mention 603,https://example.com/news603
11/5/2023 7:02:01 PM,Query Quartet,Rock,New Single,TikTok,Social Media,Miami,7100,4,Top 10,,Noteworthy mention 604,https://example.com/news604
11/6/2023 7:02:01 PM,Query Quartet,Indie,Album Release,Spotify,Social Media,Chicago,4650,3,Highly Rated,Award Show,Noteworthy mention 605,https://example.com/news605
11/7/2023 7:02:01 PM,Query Quartet,Rock,New Single,Pitchfork,Critical Review,Chicago,37539,4,Viral,Europe Tour,Noteworthy mention 606,https://example.com/news606
11/8/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,Grammy,Fan Base,Global,31480,3,Winner,Award Show,Noteworthy mention 607,https://example.com/news607
11/9/2023 7:02:01 PM,Query Quartet,Pop,Award Win,Pitchfork,Social Media,Chicago,4672,2,Viral,,Noteworthy mention 608,https://example.com/news608
11/10/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,TikTok,Fan Base,Miami,44489,3,Top 10,Europe Tour,Noteworthy mention 609,https://example.com/news609
11/11/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,Spotify,Fan Base,New York,30230,2,Viral,Music Festival,Noteworthy mention 610,https://example.com/news610
11/12/2023 7:02:01 PM,Query Quartet,Electronic,Chart Topping,Billboard,Social Media,New York,49048,1,Highly Rated,Music Festival,Noteworthy mention 611,https://example.com/news611
11/13/2023 7:02:01 PM,Query Quartet,Pop,New Single,Billboard,Social Media,Los Angeles,13513,2,Viral,Music Festival,Noteworthy mention 612,https://example.com/news612
11/14/2023 7:02:01 PM,Query Quartet,Electronic,Viral Moment,Pitchfork,Industry News,Miami,19198,1,Top 10,Europe Tour,Noteworthy mention 613,https://example.com/news613
11/15/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,Grammy,Fan Base,Chicago,44991,4,Top 10,,Noteworthy mention 614,https://example.com/news614
11/16/2023 7:02:01 PM,Query Quartet,Indie,Award Win,Billboard,Social Media,Chicago,27320,4,Viral,,Noteworthy mention 615,https://example.com/news615
11/17/2023 7:02:01 PM,Query Quartet,Pop,Album Release,Grammy,Social Media,Miami,14636,4,Viral,Europe Tour,Noteworthy mention 616,https://example.com/news616
11/18/2023 7:02:01 PM,Query Quartet,Pop,New Single,Pitchfork,Social Media,New York,42801,1,Highly Rated,Europe Tour,Noteworthy mention 617,https://example.com/news617
11/19/2023 7:02:01 PM,Query Quartet,Pop,Viral Moment,Spotify,Critical Review,Chicago,43986,3,Top 10,World Tour,Noteworthy mention 618,https://example.com/news618
11/20/2023 7:02:01 PM,Query Quartet,Electronic,Viral Moment,Spotify,Industry News,Chicago,33078,4,Highly Rated,World Tour,Noteworthy mention 619,https://example.com/news619
11/21/2023 7:02:01 PM,Query Quartet,Pop,Chart Topping,Billboard,Industry News,Miami,36052,2,Top 10,Europe Tour,Noteworthy mention 620,https://example.com/news620
11/22/2023 7:02:01 PM,Query Quartet,Electronic,Award Win,Billboard,Social Media,Los Angeles,33294,4,Viral,Music Festival,Noteworthy mention 621,https://example.com/news621
11/23/2023 7:02:01 PM,Query Quartet,Pop,Album Release,Billboard,Social Media,Miami,42238,2,Top 10,,Noteworthy mention 622,https://example.com/news622
11/24/2023 7:02:01 PM,Query Quartet,Indie,Viral Moment,Billboard,Social Media,Chicago,18046,4,Viral,Music Festival,Noteworthy mention 623,https://example.com/news623
11/25/2023 7:02:01 PM,Query Quartet,Pop,New Single,Pitchfork,Social Media,Miami,20983,3,Highly Rated,Award Show,Noteworthy mention 624,https://example.com/news624
11/26/2023 7:02:01 PM,Query Quartet,Electronic,Award Win,Grammy,Fan Base,Miami,16264,2,Highly Rated,Award Show,Noteworthy mention 625,https://example.com/news625
11/27/2023 7:02:01 PM,Query Quartet,Indie,New Single,TikTok,Industry News,Los Angeles,21530,2,Viral,Award Show,Noteworthy mention 626,https://example.com/news626
11/28/2023 7:02:01 PM,Query Quartet,Rock,Chart Topping,Pitchfork,Industry News,New York,25113,3,Winner,Music Festival,Noteworthy mention 627,https://example.com/news627
11/29/2023 7:02:01 PM,Query Quartet,Rock,Album Release,Billboard,Critical Review,Miami,3383,1,Winner,World Tour,Noteworthy mention 628,https://example.com/news628
11/30/2023 7:02:01 PM,Query Quartet,Indie,New Single,Billboard,Critical Review,Miami,33157,2,Viral,Award Show,Noteworthy mention 629,https://example.com/news629
12/1/2023 7:02:01 PM,Query Quartet,Rock,Album Release,Billboard,Industry News,Los Angeles,6729,4,Top 10,Europe Tour,Noteworthy mention 630,https://example.com/news630
12/2/2023 7:02:01 PM,Query Quartet,Indie,New Single,TikTok,Critical Review,Chicago,21967,1,Top 10,,Noteworthy mention 631,https://example.com/news631
12/3/2023 7:02:01 PM,Query Quartet,Pop,Viral Moment,Grammy,Critical Review,Global,47114,3,Winner,World Tour,Noteworthy mention 632,https://example.com/news632
12/4/2023 7:02:01 PM,Query Quartet,Rock,Viral Moment,Billboard,Critical Review,Global,33243,3,Winner,Award Show,Noteworthy mention 633,https://example.com/news633
12/5/2023 7:02:01 PM,Query Quartet,Hip Hop,Chart Topping,Spotify,Critical Review,Chicago,9827,1,Viral,,Noteworthy mention 634,https://example.com/news634
12/6/2023 7:02:01 PM,Query Quartet,Hip Hop,Award Win,Billboard,Fan Base,Chicago,37282,2,Viral,,Noteworthy mention 635,https://example.com/news635
12/7/2023 7:02:01 PM,Query Quartet,Indie,Album Release,TikTok,Critical Review,Chicago,24676,1,Top 10,World Tour,Noteworthy mention 636,https://example.com/news636
12/8/2023 7:02:01 PM,Query Quartet,Hip Hop,Award Win,TikTok,Industry News,New York,29783,2,Winner,Music Festival,Noteworthy mention 637,https://example.com/news637
12/9/2023 7:02:01 PM,Query Quartet,Indie,Award Win,TikTok,Industry News,New York,14475,1,Winner,,Noteworthy mention 638,https://example.com/news638
